"state","avg_delivery_days","total_orders"
"SP","8.7613565637961705","40495"
"RJ","15.3100528155553757","12353"
"MG","12.0102583429146892","11355"
"RS","15.3002761924068530","5344"
"PR","11.9915822274132756","4923"
"SC","14.9592974533773977","3547"
"BA","19.3354658244892620","3256"
"DF","12.9675681089743590","2080"
"ES","15.7893071103685139","1995"
"GO","15.6063385354567649","1957"
"PE","18.4483229944084072","1593"
"CE","21.2665786349289086","1279"
"PA","23.7729169113616788","946"
"MT","18.0557560117256082","886"
"MA","21.5729764741205641","717"
"MS","15.6183190184656839","701"
"PB","20.4267676096067053","517"
"PI","19.4570982629162776","476"
"RN","19.2781562060478200","474"
"AL","24.5438553619740647","397"
"SE","21.5197882808181316","335"
"TO","17.6580626098269803","274"
"RO","19.3720365131077580","243"
"AM","26.4259909003831418","145"
"AC","21.0357129629629630","80"
"AP","27.1850677169707020","67"
"RR","29.3875460140018067","41"
